"Net Drift (%/year)","CILo","CIHi","location","cause","measure","sex","rei","type","draw_id"
0.0645853648946426,-0.205024922124231,0.334924042364126,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",11
0.344691192103297,0.0586182808307134,0.631582001043984,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",11
-0.237182698414296,-0.503550579363699,0.0298982918813584,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",12
1.03114346069495,0.848370760729189,1.21424740904483,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",12
-1.69103765641019,-2.05232499960142,-1.32841767776488,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",12
0.261631349673763,0.0478436880676059,0.475875844356666,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",12
0.820368947893502,0.520662060677579,1.12096942470985,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",12
2.05839011455033,1.82869569780859,2.28860265169735,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",12
0.00580881863740945,-0.237590912262176,0.249802394749254,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",12
-0.0966096723254761,-0.382554977370908,0.19015641985678,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",12
-0.294721103851836,-0.613453053577973,0.025033016971876,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",13
0.832980629073443,0.586391136999787,1.08017464007768,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",13
-1.51101187805061,-1.87241627918294,-1.1482764226295,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",13
0.321931061131475,0.133223302494256,0.510994452165159,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",13
0.861566227678146,0.56324805794381,1.16076935023681,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",13
2.00226683273279,1.73184242846411,2.27341008133453,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",13
-0.0622782895339347,-0.300600698270492,0.176613807394377,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",13
0.251339014025054,-0.0407760726267137,0.544307761004492,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",13
-0.239195980951123,-0.562200332273688,0.0848575871815527,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",14
0.874376583647751,0.652406074321266,1.09683660841584,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",14
-1.6767115854782,-1.97972866554718,-1.37275776702274,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",14
0.280518346934477,0.0982209313379334,0.463147759917426,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",14
0.823992111025329,0.512085081495273,1.13686704401683,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",14
2.28365092977809,2.0448986321788,2.52296183109371,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",14
0.176535255317956,-0.112337702414755,0.466243627393048,"Southeast Asia, East Asia, and Oceania","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",14
0.0927171286598583,-0.205055182851199,0.391377945592386,"Sub-Saharan Africa","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",14
-0.239469360033207,-0.514995492495274,0.0368198487341376,"Central Europe, Eastern Europe, and Central Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",15
0.802278074963136,0.598414104333211,1.00655517853248,"Global","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",15
-1.62353842309688,-2.09492621377383,-1.14988102124856,"High-income","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",15
0.239740042179326,0.0447150264593077,0.435145235470413,"Latin America and Caribbean","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",15
0.862193874546735,0.564419879587685,1.16084958644085,"North Africa and Middle East","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",15
2.03647852898459,1.75962360613551,2.31408668426112,"South Asia","Diarrheal diseases","Deaths","Both","Clostridium difficile","att",15
